A0,B99,C690
A1,B769,C405
A2,B672,C315
A3,B471,C316
A4,B322,C17
A5,B877,C517
A6,B85,C52
A7,B719,C967
A8,B736,C399
A9,B372,C170
A10,B367,C534
A11,B593,C783
A12,B79,C619
A13,B616,C756
A14,B28,C666
A15,B796,C415
A16,B508,C572
A17,B79,C151
A18,B257,C73
A19,B445,C753
A20,B105,C522
A21,B100,C283
A22,B768,C721
A23,B283,C638
A24,B291,C985
A25,B343,C102
A26,B345,C515
A27,B491,C973
A28,B704,C577
A29,B267,C46
A30,B254,C46
A31,B838,C543
A32,B201,C837
A33,B738,C673
A34,B843,C589
A35,B294,C124
A36,B871,C463
A37,B28,C646
A38,B320,C490
A39,B87,C332
A40,B390,C231
A41,B750,C953
A42,B867,C626
A43,B720,C78
A44,B415,C794
A45,B808,C731
A46,B30,C358
A47,B740,C148
A48,B655,C950
A49,B311,C177
A50,B549,C614
A51,B365,C6
A52,B96,C544
A53,B540,C874
A54,B585,C739
A55,B652,C324
A56,B770,C286
A57,B247,C450
A58,B807,C35
A59,B52,C476
A60,B470,C877
A61,B531,C619
A62,B735,C816
A63,B277,C916
A64,B839,C581
A65,B871,C8
A66,B596,C756
A67,B797,C28
A68,B802,C772
A69,B886,C973
A70,B433,C60
A71,B46,C501
A72,B176,C292
A73,B487,C26
A74,B844,C953
A75,B858,C553
A76,B753,C648
A77,B621,C160
A78,B459,C264
A79,B141,C606
A80,B777,C460
A81,B594,C770
A82,B437,C728
A83,B755,C458
A84,B886,C404
A85,B448,C149
A86,B462,C742
A87,B648,C903
A88,B811,C413
A89,B104,C185
A90,B620,C217
A91,B650,C8
A92,B507,C379
A93,B297,C535
A94,B373,C647
A95,B384,C664
A96,B779,C295
A97,B270,C23
A98,B88,C878
A99,B681,C918
A100,B227,C878
A101,B864,C308
A102,B729,C819
A103,B33,C609
A104,B857,C815
A105,B855,C283
A106,B161,C95
A107,B88,C503
A108,B365,C33
A109,B830,C609
A110,B718,C70
A111,B403,C330
A112,B754,C992
A113,B159,C5
A114,B8,C895
A115,B239,C237
A116,B26,C798
A117,B61,C601
A118,B896,C759
A119,B95,C170
A120,B0,C625
A121,B718,C158
A122,B563,C588
A123,B452,C889
A124,B296,C600
A125,B326,C63
A126,B326,C817
A127,B249,C906
A128,B266,C599
A129,B546,C785
A130,B615,C471
A131,B704,C898
A132,B709,C451
A133,B625,C452
A134,B243,C859
A135,B212,C199
A136,B310,C212
A137,B380,C9
A138,B571,C49
A139,B821,C853
A140,B517,C183
A141,B819,C122
A142,B673,C730
A143,B245,C914
A144,B623,C17
A145,B421,C83
A146,B601,C288
A147,B505,C357
A148,B656,C449
A149,B295,C179
A150,B525,C297
A151,B843,C423
A152,B17,C99
A153,B529,C550
A154,B777,C366
A155,B438,C745
A156,B506,C695
A157,B482,C355
A158,B233,C518
A159,B217,C244
A160,B889,C885
A161,B342,C782
A162,B37,C185
A163,B442,C870
A164,B353,C854
A165,B114,C575
A166,B510,C207
A167,B260,C4
A168,B453,C703
A169,B11,C97
A170,B890,C17
A171,B412,C871
A172,B79,C880
A173,B826,C575
A174,B207,C200
A175,B390,C355
A176,B567,C601
A177,B613,C986
A178,B709,C226
A179,B6,C330
A180,B524,C594
A181,B127,C728
A182,B490,C448
A183,B209,C278
A184,B358,C908
A185,B775,C921
A186,B702,C397
A187,B657,C788
A188,B289,C743
A189,B20,C680
A190,B865,C693
A191,B552,C687
A192,B266,C379
A193,B98,C903
A194,B11,C410
A195,B285,C852
A196,B262,C184
A197,B870,C5
A198,B169,C735
A199,B407,C46
A200,B434,C410
A201,B255,C319
A202,B60,C638
A203,B501,C801
A204,B66,C515
A205,B139,C815
A206,B794,C216
A207,B22,C696
A208,B595,C635
A209,B643,C440
A210,B669,C388
A211,B891,C194
A212,B168,C918
A213,B723,C957
A214,B258,C802
A215,B413,C54
A216,B893,C722
A217,B599,C110
A218,B78,C748
A219,B469,C977
A220,B662,C844
A221,B673,C1
A222,B371,C17
A223,B856,C411
A224,B205,C530
A225,B94,C66
A226,B287,C60
A227,B641,C446
A228,B91,C877
A229,B419,C190
A230,B541,C338
A231,B118,C77
A232,B617,C475
A233,B841,C464
A234,B509,C768
A235,B8,C240
A236,B239,C205
A237,B418,C79
A238,B351,C773
A239,B164,C866
A240,B517,C84
A241,B580,C604
A242,B313,C425
A243,B122,C881
A244,B676,C632
A245,B214,C285
A246,B411,C640
A247,B413,C483
A248,B373,C31
A249,B844,C261
A250,B164,C30
A251,B435,C838
A252,B391,C440
A253,B487,C606
A254,B361,C504
A255,B348,C405
A256,B358,C330
A257,B62,C17
A258,B818,C868
A259,B735,C371
A260,B546,C386
A261,B604,C897
A262,B17,C33
A263,B389,C51
A264,B285,C964
A265,B473,C140
A266,B18,C414
A267,B835,C210
A268,B598,C982
A269,B711,C215
A270,B296,C783
A271,B238,C698
A272,B36,C911
A273,B259,C152
A274,B831,C133
A275,B534,C727
A276,B771,C887
A277,B427,C630
A278,B450,C898
A279,B365,C481
A280,B233,C380
A281,B405,C267
